OrderID,ProductPrice,Quantity,CustomerAge,ProductReviews,ProductRating,DiscountPercentage,CustomerTenure,ProductCategory,DeliveryType,PaymentMethod,CustomerLocation,ReturnStatus,BrowsingTime
1,839.68,1,44.18404715,18,2.58,45.44,15.84,Clothing,Express,PayPal,Central,Yes,212.17
2,47.23,1,11.60846331,11,4.41,47.51,7.92,Sports,Standard,Debit Card,Central,Yes,96.08
3,62.95,4,18.83418881,26,4.02,13.46,30.24,Home,Express,Debit Card,North,No,115.24
4,80.46,1,40.14737831,,3.07,37.71,52.1,Clothing,Overnight,UPI,North,Yes,136.18
5,45.32,3,44.34416046,19,3.29,11.94,0.01,Sports,Express,PayPal,Central,Yes,17.15
6,45.32,1,44.62312467,19,1.52,36.88,27.94,Electronics,Standard,Credit Card,East,Yes,142.69
7,81.58,2,23.19445582,22,4.36,39.87,34.96,Clothing,Express,Credit Card,North,Yes,51.85
8,65.35,5,20.32601526,19,4.15,12.36,5.66,Sports,Standard,Credit Card,Central,No,124.08
9,40.61,4,27.40047749,20,3.63,35.79,16.14,Sports,Standard,PayPal,South,No,109.82
10,,3,38.59809128,22,2.86,40.61,2.24,Books,Overnight,Debit Card,West,Yes,270.85
11,40.73,3,57.28216054,21,4.86,17.93,32.96,Sports,Express,Debit Card,North,No,233.52
12,40.69,5,4.288442213,,4.52,8.39,45.13,Books,Overnight,UPI,Central,No,75.98
13,54.84,3,31.68906865,17,3.58,4.6,2.75,Electronics,Overnight,UPI,North,No,68.69
14,11.73,2,15.00982338,17,2.49,28.77,40.69,Electronics,Express,Debit Card,South,No,297.85
15,15.5,1,10.21635984,20,3.47,48.9,35.44,Home,Overnight,Debit Card,East,Yes,81.49
16,38.75,2,49.50434968,26,3.3,41.15,10.23,Books,Overnight,PayPal,Central,No,149.49
17,29.74,1,43.16936862,19,2.58,21.79,28.13,Sports,Standard,UPI,South,No,132.89
18,870,2,41.74150274,21,2.23,26.83,0,Home,Overnight,Credit Card,West,Yes,352.41
19,31.84,1,48.8153876,19,2.63,13.98,64.45,Home,Express,Credit Card,Central,Yes,429.33
20,21.75,3,27.80421655,25,3.3,8.15,19.18,Electronics,Standard,Credit Card,West,No,78.54
21,79.31,3,28.51043725,11,2.71,24.1,23.24,Sports,Overnight,Credit Card,East,Yes,210.88
22,45.48,6,67.78595925,19,2.05,23.18,26.22,Books,Overnight,Debit Card,Central,Yes,352.96
23,51.35,5,31.30143419,22,4.04,26.1,19.78,Electronics,Express,Debit Card,Central,Yes,102.79
